Entry Date,Exit Date,Days Held,Entry,Exit,Profit INR
2021-02-12,2021-07-30,168,747.28,705.95,-1109086.46
2021-04-09,2021-07-30,112,2254.02,2139.48,-128533.1
2021-05-21,2021-12-24,217,548.3,668.17,47982336.31
2021-05-21,2021-06-18,28,1299.2,1067.55,-3583694.84
2021-08-06,2022-03-04,210,583.19,638.9,569434.77
2021-08-20,2021-10-22,63,2401.81,2250.24,-148184.69
2021-09-03,2022-01-28,147,1081.79,1057.95,-196456.85
2021-09-03,2021-10-29,56,794.68,738.91,-1299543.31
2021-09-17,2021-12-17,91,182.01,171.61,-373322.8
2021-09-24,2021-11-26,63,749.36,697.12,-2399230.86
2021-10-22,2021-12-17,56,432.69,357.44,-2628747.18
2021-11-19,2022-03-04,105,7829.38,6990.37,-620251.96
2021-11-19,2022-06-03,196,1345.75,1855.9,5979051.22
2022-03-25,2023-10-27,581,204.28,372.31,4609792.38
2022-04-01,2022-05-06,35,741.33,694.17,-470570.77
2022-04-22,2022-05-13,21,1249.51,1099.05,-886238.34
2022-07-15,2022-12-09,147,8466.86,8362.69,-85109.34
2022-07-29,2023-01-27,182,490.85,501.63,30552.38
2022-07-29,2022-08-26,28,907.21,849.34,-2337521.18
2022-08-05,2023-01-27,175,813.07,797.46,-127207.27
2022-09-09,2023-01-13,126,751.74,750.32,-44122.21
2022-09-30,2023-03-03,154,915.44,940.06,692475.3
2022-09-30,2023-01-20,112,2509.62,2388.07,-108373.56
2022-10-07,2023-01-13,98,2704.67,2394.33,-3810766.14
2022-10-21,2023-03-10,140,898.02,849.65,-941531.27
2022-11-11,2023-03-24,133,762.62,738.72,-1080502.39
2022-11-18,2024-05-10,539,1948.68,3184.83,7276321.34
2023-02-17,2024-04-19,427,7176.33,9250.11,1542831.16
2023-04-07,2023-06-02,56,788.75,769.14,-855695.8
2023-05-12,2023-10-20,161,921.1,917.71,-44550.41
2023-05-12,2024-05-03,357,2746.96,3511.81,7663536.89
2023-05-12,2023-08-11,91,390.92,357.49,-1093445.01
2023-06-09,2024-03-15,280,972.17,1044.7,1047613.04
2023-06-09,2024-01-05,210,9347.62,9817.02,218329.17
2023-06-23,2025-02-28,616,839.16,1557.18,5397192.16
2023-06-30,2023-08-11,42,814.57,775.03,-1488608.81
2023-07-07,2023-11-17,133,749.17,709.72,-15705683.3
2023-07-14,2023-11-10,119,3212.79,3062.99,-400008.77
2023-07-14,2025-01-31,567,1043.17,1716.66,20717853.89
2023-07-21,2023-10-20,91,582.55,533.3,-164178.43
2023-07-21,2023-10-06,77,1249.83,1145.19,-548736.39
2023-07-28,2024-08-09,378,113.19,145.35,20611.89
2023-12-08,2025-01-17,406,994.55,1216.07,1106527.42
2023-12-08,2024-05-31,175,3332.44,3421.29,159108.22
2023-12-15,2024-09-06,266,613.94,753.51,371292.43
2023-12-15,2024-03-22,98,1454.56,1390.47,-6476906.07
2023-12-22,2024-09-06,259,1267.24,1452.28,794955.86
2023-12-29,2024-01-19,21,818.33,704.1,-3804780.27
2024-02-09,2024-09-06,210,10518.58,12055.67,712195.16
2024-02-09,2024-07-05,147,1880.7,1754.3,-1583983.22
2024-05-03,2024-11-01,182,1139.65,1168.55,327593.68
2024-06-14,2024-11-15,154,11106.12,10660.92,-314257.76
2024-07-12,2025-01-17,189,1609.01,1725.92,8491500.87
2024-07-19,2024-11-15,119,421.17,413.54,-236559.79
2024-07-19,2024-10-25,98,4019.11,3799.63,-447697.67
2024-07-19,2024-10-25,98,2620.12,2428.97,-149571.45
2024-09-20,2024-10-04,14,3722.48,3428.18,-1580570.48
2024-09-20,2024-10-04,14,2003.95,1801.2,-2161685.12
2024-09-20,2025-01-10,112,845.01,804.03,-1205429.15
2024-09-27,2024-10-18,21,13351.1,11975.48,-621616.8
2024-09-27,2024-10-11,14,3805.25,3463.98,-3376278.64
2024-12-06,2024-12-27,21,3793.91,3540.18,-1238448.67
2024-12-13,2025-01-10,28,12007.79,10796.76,-703759.32
2025-01-31,2025-08-15,196,778.89,856.19,24191683.01
2025-02-07,2025-08-01,175,385.41,398.48,317723.59
2025-03-28,2025-09-26,182,1338.03,1359.6,68693.84
2025-04-04,2026-01-23,294,1729.0,1984.7,1673930.95
2025-04-18,2025-09-26,161,925.33,929.67,-6811.34
2025-04-25,2025-05-30,35,12159.92,11139.39,-529680.75
2025-07-04,2025-10-24,112,12427.23,11918.0,-249129.6
2025-08-22,2026-01-30,161,14349.0,14599.0,63769.17
2025-09-05,2026-06-26,294,164.29,188.71,13533.01
2025-09-12,2026-01-09,119,997.12,953.74,-13624519.92
2025-09-19,2026-05-08,231,847.08,1001.25,361014.15
2025-10-24,2026-05-22,210,3714.9,4079.8,3010277.75
2025-10-24,2026-03-13,140,1241.9,1197.3,-672103.06
2025-10-24,2026-01-23,91,3867.13,3707.59,-740149.47
2025-11-21,2026-01-16,56,1539.48,1451.19,-400982.41
2025-11-28,2026-01-09,42,991.21,923.72,-1558382.72
2026-01-30,2026-03-06,35,12694.0,11987.0,-314399.32
2026-02-13,2026-03-13,28,4133.53,3405.73,-2763313.37
